Metric_Timestamp	Disk_Space_Usage_MB	Memory_Space_Usage_MB	CPU_Utilization_Pct	Temperature_C	server_health_status
2025-03-01 02:44:17	595132	600420	31.61	56.68	Good
2025-03-01 02:54:17	600384	604765	31.16	57.69	Good
2025-03-01 03:04:17	593997	588561	33.53	58.04	Good
2025-03-01 03:14:17	596344	590531	33.92	59.41	Good
2025-03-01 03:24:17	594526	581608	32.85	57.76	Good
2025-03-01 03:34:17	595274	607477	30.80	57.53	Good
2025-03-01 03:44:17	597087	620784	31.80	57.13	Good
2025-03-01 05:08:39	812522	708786	24.96	56.77	Moderate
2025-03-01 05:18:39	814188	703043	29.80	56.18	Moderate
2025-03-01 05:28:39	813681	719847	24.90	55.02	Moderate
2025-03-01 05:38:39	815065	707346	31.55	57.27	Moderate
2025-03-01 05:48:39	817204	695511	23.54	54.92	Moderate
2025-03-01 05:58:39	815132	689182	29.27	58.42	Moderate
2025-03-01 06:08:39	810854	708970	26.05	57.31	Moderate
2025-03-01 06:18:39	811223	690611	27.75	56.31	Moderate
2025-03-01 06:28:39	819562	684768	27.19	57.53	Moderate
2025-03-01 06:38:39	817961	685738	26.28	55.51	Moderate
2025-03-01 06:48:39	812374	701394	28.83	57.87	Moderate
2025-03-01 06:58:39	815152	690789	31.47	57.12	Moderate
2025-03-01 07:08:39	818433	701369	30.88	58.81	Moderate
2025-03-01 07:18:39	813789	712640	24.43	56.51	Moderate
2025-03-01 07:28:39	812468	713862	26.74	54.89	Moderate
2025-03-01 07:38:39	814536	720996	27.54	54.61	Moderate
2025-03-01 07:48:39	815159	694845	27.05	55.99	Moderate
2025-03-01 07:58:39	811526	693911	26.22	56.28	Moderate
2025-03-01 08:08:39	817395	690382	27.38	54.13	Moderate
2025-03-01 08:18:39	817753	709249	29.11	56.19	Moderate
2025-03-01 08:28:39	819448	713869	28.30	56.30	Moderate
2025-03-01 08:38:39	815541	701131	22.04	55.29	Moderate
2025-03-01 08:48:39	814899	698652	30.41	56.99	Moderate
2025-03-01 08:58:39	816187	697439	28.89	55.17	Moderate
2025-03-01 09:08:39	813025	719808	26.36	56.32	Moderate
2025-03-01 09:18:39	818163	715110	28.16	57.70	Moderate
2025-03-01 09:28:39	816827	693706	25.47	56.22	Moderate
2025-03-01 09:38:39	810324	682476	30.39	57.68	Moderate
2025-03-01 09:48:39	817107	720937	30.88	57.09	Moderate
2025-03-01 13:26:57	582280	610433	21.56	52.90	Good
2025-03-01 13:36:57	577652	618501	28.04	57.26	Good
2025-03-01 13:46:57	576082	608933	23.31	52.81	Good
2025-03-01 13:56:57	574171	610321	22.66	55.84	Good
2025-03-01 14:06:57	583292	621411	26.80	57.33	Good
2025-03-01 14:16:57	580876	642036	26.30	54.28	Good
2025-03-01 14:26:57	578333	644525	19.76	54.42	Good
2025-03-01 14:36:57	577597	608288	23.14	54.08	Good
2025-03-01 14:46:57	574151	628020	20.57	52.35	Good
2025-03-01 15:29:18	443864	770470	34.40	59.45	Good
2025-03-01 15:39:18	439842	756501	42.45	61.73	Good
2025-03-01 15:49:18	447160	776887	39.12	59.21	Good
2025-03-01 15:59:18	448563	756078	43.66	62.77	Good
2025-03-01 16:09:18	447583	777613	39.50	59.75	Good
2025-03-01 16:19:18	444612	786140	42.49	61.65	Good
2025-03-01 16:29:18	445316	768981	36.48	60.53	Good
2025-03-01 16:39:18	444958	773862	35.48	57.38	Good
2025-03-01 16:49:18	443211	772445	37.17	59.97	Good
